user_id,age,gender,income,monthly_vape_spend,willingness_to_subscribe,liked_flavors,disliked_flavors,flavor_score_sweet,flavor_score_fruity,flavor_score_tobacco,flavor_score_minty,mood_relax,mood_energy,mood_focus,lifestyle_social,lifestyle_fitness,lifestyle_travel,lifestyle_gaming,usage_freq_per_week,nicotine_strength,churn_risk,satisfaction_rating,device_brand,social_linked,trend_alignment,prev_month_reorders,days_since_last_order,health_concern,tapering_interest,preferred_pack_size,feedback_count,feedback_sentiment
1,64,Female,26066.34,36.04,1,"Citrus,Dessert,Tobacco,Fruity,Chocolate","Coffee,Fruity",1,1,1,1,4,1,2,0,0,0,1,9,12,0.38,9,BrandB,1,0.06,0,49,4,0,Medium,0,0.15
2,38,Other,90960.95,24.68,0,"Berry,Chocolate","Tobacco,Fruity,Citrus",5,1,1,4,5,3,4,0,0,1,0,3,12,0.2,8,BrandD,0,0.38,2,26,4,1,Small,3,0.37
3,32,Male,59252.63,23.51,0,"Mint,Coffee,Citrus","Vanilla,Mint,Berry",3,5,4,2,1,4,4,0,0,1,1,1,12,0.43,3,BrandA,1,0.33,2,6,2,1,Medium,3,-0.19
4,67,Male,20251.85,7.64,0,"Berry,Dessert,Mint,Chocolate,Vanilla","Dessert,Coffee",5,1,5,1,5,5,1,0,1,0,0,2,6,0.41,9,BrandA,1,0.57,1,15,3,0,Medium,0,0.11
5,39,Female,35334.61,5.0,1,"Citrus,Coffee,Mint,Vanilla,Berry","Dessert,Berry,Citrus",4,2,5,3,2,5,2,0,0,0,0,2,12,0.12,10,BrandD,1,0.8,2,86,2,0,Small,0,-0.34
6,22,Female,134677.76,8.63,1,"Fruity,Chocolate,Dessert,Tobacco,Citrus","Berry,Mint",3,3,4,2,2,4,3,0,1,0,1,2,3,0.48,4,BrandA,1,0.7,0,86,1,0,Medium,6,-0.9
7,42,Female,11658.27,8.61,1,"Chocolate,Fruity,Berry,Dessert","Dessert,Citrus,Berry",5,1,4,5,2,3,4,0,0,0,1,2,18,0.2,4,BrandD,0,0.65,1,32,5,0,Medium,4,-0.79
8,36,Male,38654.97,94.04,0,"Coffee,Vanilla,Fruity,Citrus,Berry",Dessert,1,3,3,3,4,4,5,1,0,1,0,6,18,0.47,6,BrandB,0,0.18,3,37,4,0,Medium,3,-0.06
9,41,Female,106866.97,19.17,1,"Chocolate,Citrus","Vanilla,Coffee,Dessert",4,3,3,3,3,2,5,0,1,1,0,3,3,0.16,6,BrandD,1,0.55,1,40,5,0,Large,0,-0.74
10,62,Male,29724.71,145.09,0,"Fruity,Chocolate",Vanilla,1,3,5,2,2,4,2,0,1,0,0,1,18,0.33,1,BrandB,0,0.59,1,8,5,0,Medium,2,0.59
11,27,Female,33271.17,5.0,1,"Citrus,Dessert,Fruity,Berry","Berry,Mint,Citrus",2,1,2,3,5,5,4,1,0,0,0,5,3,0.37,7,BrandA,1,0.29,2,2,4,1,Medium,4,1.0
12,30,Female,47237.95,30.54,1,"Chocolate,Berry,Fruity,Vanilla","Berry,Citrus,Coffee",2,2,1,1,3,5,5,0,1,1,1,6,6,0.66,10,BrandB,0,0.51,1,57,2,0,Medium,2,-0.42
13,56,Male,122346.45,19.26,1,"Citrus,Coffee,Tobacco,Mint,Berry","Mint,Dessert",5,5,1,2,4,2,2,0,1,1,0,10,3,0.35,2,BrandA,0,0.22,4,16,4,0,Large,1,-0.38
14,64,Female,34079.02,10.99,1,"Fruity,Citrus","Citrus,Chocolate",2,2,5,4,3,1,2,1,1,0,0,1,3,0.31,10,BrandD,0,0.64,3,45,3,0,Medium,2,-0.87
15,35,Female,38307.05,37.12,0,"Tobacco,Berry,Vanilla",Citrus,1,2,5,5,3,1,3,0,0,0,1,2,3,0.34,2,BrandD,1,0.28,0,11,4,1,Medium,1,0.79
16,59,Male,38529.04,5.0,1,"Mint,Chocolate,Vanilla,Citrus",Dessert,1,5,3,2,5,4,3,0,1,0,1,1,12,0.47,5,BrandD,1,0.7,3,30,3,0,Large,3,0.42
17,53,Male,187838.22,5.0,0,"Vanilla,Coffee","Coffee,Dessert,Mint",2,4,3,4,4,3,2,1,1,0,1,7,6,0.28,8,BrandC,0,0.14,1,2,2,0,Medium,0,-0.02
18,35,Female,185692.98,5.16,0,"Tobacco,Chocolate,Fruity,Coffee","Chocolate,Citrus",1,4,2,3,5,1,4,1,0,0,0,1,12,0.18,10,BrandB,0,0.2,2,28,2,1,Small,1,-0.05
19,64,Male,91327.81,10.83,1,"Coffee,Tobacco,Chocolate,Mint,Dessert","Dessert,Fruity,Mint",2,5,3,2,1,4,4,1,1,1,1,7,6,0.35,1,BrandB,0,0.61,4,61,2,0,Medium,2,-0.93
20,61,Female,63037.82,77.78,1,"Coffee,Citrus,Vanilla",Tobacco,5,2,1,3,4,3,3,1,1,0,1,1,18,0.49,3,BrandC,0,0.64,0,80,2,1,Medium,4,0.46
21,40,Male,77823.56,35.0,1,"Citrus,Vanilla","Berry,Chocolate",2,4,2,3,3,3,4,0,1,0,0,3,6,0.46,8,BrandB,1,0.61,3,35,5,0,Medium,1,-0.07
22,57,Male,122298.19,20.95,0,"Dessert,Chocolate,Vanilla",Dessert,1,5,5,5,4,5,3,1,1,0,0,1,18,0.32,9,BrandD,1,0.54,1,64,4,1,Small,1,-0.26
23,46,Male,28517.64,26.74,1,"Fruity,Chocolate,Coffee,Berry,Dessert",Chocolate,4,1,1,1,5,2,3,0,0,0,1,3,0,0.36,3,BrandB,0,0.68,1,17,5,0,Medium,0,0.98
24,64,Female,101242.68,18.69,0,"Dessert,Tobacco,Coffee,Chocolate","Mint,Coffee",1,2,1,5,4,5,3,0,0,0,0,1,6,0.55,5,BrandC,1,0.13,1,50,3,0,Medium,0,-0.08
25,26,Male,23563.4,5.0,1,"Coffee,Tobacco,Citrus,Berry","Vanilla,Coffee",3,1,1,2,2,2,5,1,1,0,0,1,6,0.46,2,BrandD,1,0.68,1,24,1,0,Large,1,0.66
26,66,Female,34102.55,81.44,1,"Fruity,Chocolate,Vanilla,Mint",Coffee,1,1,3,3,4,1,3,0,0,0,1,4,12,0.17,1,BrandC,1,0.54,0,88,3,0,Medium,1,0.88
27,46,Female,86166.9,22.95,1,"Coffee,Vanilla,Chocolate",Berry,1,4,3,4,5,4,4,0,0,0,0,4,6,0.86,2,BrandD,1,0.28,0,47,4,0,Small,2,-0.85
